upakarana,labdhi,phala,gamyantar
1,0,0.25,-0.019
1,1,0.231,-0.019
1,2,0.212,-0.018
1,3,0.194,-0.018
1,4,0.176,-0.017
1,5,0.159,-0.016
1,6,0.143,-0.015
1,7,0.128,-0.014
1,8,0.114,-0.012
1,9,0.102,-0.01
1,10,0.093,-0.009
1,11,0.083,-0.007
1,12,0.076,-0.005
1,13,0.071,-0.003
1,14,0.068,-0.001
1,15,0.067,0.001
1,16,0.068,0.003
1,17,0.071,0.005
1,18,0.076,0.007
1,19,0.083,0.009
1,20,0.092,0.01
1,21,0.102,0.012
1,22,0.114,0.014
1,23,0.128,0.015
1,24,0.143,0.016
1,25,0.159,0.017
1,26,0.176,0.018
1,27,0.194,0.018
1,28,0.212,0.019
1,29,0.231,0.019
1,30,0.25,0.019
1,31,0.269,0.019
1,32,0.288,0.018
1,33,0.306,0.018
1,34,0.324,0.017
1,35,0.341,0.016
1,36,0.357,0.015
1,37,0.372,0.014
1,38,0.386,0.012
1,39,0.398,0.01
1,40,0.408,0.009
1,41,0.417,0.007
1,42,0.424,0.005
1,43,0.429,0.003
1,44,0.432,0.001
1,45,0.433,-0.001
1,46,0.432,-0.003
1,47,0.429,-0.004
1,48,0.425,-0.008
1,49,0.417,-0.009
1,50,0.408,-0.01
1,51,0.398,-0.012
1,52,0.386,-0.014
1,53,0.372,-0.015
1,54,0.357,-0.016
1,55,0.341,-0.017
1,56,0.324,-0.018
1,57,0.306,-0.018
1,58,0.288,-0.019
1,59,0.269,-0.019
2,0,0.8,0.121
2,1,0.921,0.117
2,2,1.038,0.105
2,3,1.143,0.089
2,4,1.232,0.07
2,5,1.302,0.047
2,6,1.349,0.022
2,7,1.371,-0.004
2,8,1.367,-0.03
2,9,1.337,-0.053
2,10,1.284,-0.075
2,11,1.209,-0.094
2,12,1.115,-0.108
2,13,1.007,-0.118
2,14,0.889,-0.123
2,15,0.766,-0.122
2,16,0.644,-0.117
2,17,0.527,-0.106
2,18,0.421,-0.092
2,19,0.329,-0.071
2,20,0.258,-0.05
2,21,0.208,-0.025
2,22,0.183,0.001
2,23,0.184,0.028
2,24,0.212,0.052
2,25,0.264,0.076
2,26,0.34,0.096
2,27,0.436,0.112
2,28,0.548,0.123
2,29,0.671,0.129
2,30,0.8,0.129
2,31,0.929,0.123
2,32,1.052,0.112
2,33,1.164,0.096
2,34,1.26,0.075
2,35,1.335,0.053
2,36,1.388,0.028
2,37,1.416,0.001
