country,state,city,latitude,longitude,standard,tz
Afghanistan,,Kabul,34.5253,69.1783,67.5,Asia/Kabul
Albania,,Tirana,41.3272,19.8186,15,Europe/Paris
Algeria,,Algiers,36.7325,3.0872,15,Africa/Lagos
Angola,,Luanda,-8.8383,13.2344,15,Africa/Lagos
Argentina,,Buenos Aires,-34.6036,-58.3814,-45,America/Sao_Paulo
Armenia,,Yerevan,40.1814,44.5144,60,Asia/Dubai
Australia,,Canberra,-35.2931,149.1269,165,Australia/Sydney
Australia,Northern,Darwin,-12.4381,130.8411,142.5,Australia/Darwin
Australia,Queensland,Brisbane,-27.4678,153.0281,150,Australia/Brisbane
Australia,South,Adelaide,-34.9275,138.6,157.5,Australia/Adelaide
Australia,Victoria,Melbourne,-37.8142,144.9631,165,Australia/Sydney
Australia,Wales,Sydney,-33.8667,151.2,165,Australia/Sydney
Australia,Western,Perth,-31.9558,115.8597,120,Asia/Manila
Austria,,Vienna,48.2083,16.3725,15,Europe/Paris
Azerbaijan,,Baku,40.3667,49.8352,60,Asia/Dubai
Bahamas,,Nassau,25.0442,-77.3503,-75,America/New_York
Bahrain,,Manama,26.2233,50.5875,45,Europe/Moscow
Bangladesh,,Dhaka,23.7289,90.3944,90,Asia/Dhaka
Belarus,,Minsk,53.9006,27.5586,45,Europe/Moscow
Belgium,,Brussels,50.8467,4.3525,15,Europe/Paris
Benin,,Cotonou,6.3667,2.4333,15,Africa/Lagos
Benin,,Porto-Novo,6.4972,2.605,15,Africa/Lagos
Bolivia,,La Paz,-16.4958,-68.1333,-60,America/Caracas
Bolivia,,Sucre,-19.0475,-65.26,-60,America/Caracas
Bosnia,,Sarajevo,43.8564,18.4131,15,Europe/Paris
Botswana,,Gaborone,-24.6569,25.9086,30,Africa/Johannesburg
Brazil,,Brasilia,-15.7939,-47.8828,-45,America/Sao_Paulo
Brazil,Amazonas,Manaus,-3.1189,-60.0217,-60,America/Caracas
Brazil,Rio Grande,Porto Alegre,-30.0328,-51.23,-45,America/Sao_Paulo
Brazil,Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056,-45,America/Sao_Paulo
Brazil,Sao Paulo,Sao Paulo,-23.5504,-46.6339,-45,America/Sao_Paulo
Bulgaria,,Sofia,42.6979,23.3217,30,Europe/Athens
Burkina Faso,,Ouagadougou,12.3686,-1.5275,0,Africa/Abidjan
Burma,,Nay Pyi Taw,19.7475,96.115,97.5,Asia/Yangon
Burma,,Rangoon,16.795,96.16,97.5,Asia/Yangon
Burundi,,Bujumbura,-3.3833,29.3667,30,Africa/Johannesburg
Burundi,,Gitega,-3.4283,29.925,30,Africa/Johannesburg
Cabo Verde,,Praia,14.9177,-23.5092,-15,Atlantic/Cape_Verde
Cambodia,,Phnom Penh,11.5696,104.921,105,Asia/Jakarta
Cameroon,,Yaounde,3.8667,11.5167,15,Africa/Lagos
Canada,,Ottawa,45.4247,-75.695,-75,America/New_York
Canada,Alberta,Calgary,51.05,-114.0667,-105,America/Denver
Canada,BC,Vancouver,49.25,-123.1,-120,America/Los_Angeles
Canada,Newfoundland,St. John's,47.4817,-52.7971,-52.5,America/St_Johns
Canada,Ontario,Toronto,43.7417,-79.3733,-75,America/New_York
Canada,Quebec,Montreal,45.5089,-73.5617,-75,America/New_York
Central Africa,,Bangui,4.3733,18.5628,15,Africa/Lagos
Chad,,N'Djamena,12.1053,15.0447,15,Africa/Lagos
Chile,,Santiago,-33.4372,-70.6506,-45,America/Santiago
China,,Beijing,39.9067,116.3975,120,Asia/Manila
China,Guangdong,Guangzhou,23.13,113.26,120,Asia/Manila
China,Heilongjiang,Harbin,45.7576,126.6409,120,Asia/Manila
China,Shanghai,Shanghai,31.2286,121.4747,120,Asia/Manila
China,Sichuan,Chengdu,30.66,104.0633,120,Asia/Manila
China,Xinjiang,Urumqi,43.8225,87.6125,90,Asia/Dhaka
Colombia,,Bogota,4.7111,-74.0722,-75,America/Lima
Congo,,Kinshasa,-4.3219,15.3119,15,Africa/Lagos
Costa Rica,,San Jose,9.9325,-84.08,-90,America/Mexico_City
Cote dIvoire,,Abidjan,5.3364,-4.0267,0,Africa/Abidjan
Croatia,,Zagreb,45.8131,15.9772,15,Europe/Paris
Cuba,,Havana,23.1367,-82.3589,-75,America/Havana
Cyprus,,Nicosia,35.1725,33.365,30,Europe/Athens
Czechia,,Prague,50.0875,14.4214,15,Europe/Paris
Denmark,,Copenhagen,55.6805,12.5615,15,Europe/Paris
Djibouti,,Djibouti,11.5944,43.1481,45,Europe/Moscow
Dominican Republic,,Santo Domingo,18.4764,-69.8933,-60,America/Caracas
Ecuador,,Quito,-0.22,-78.5125,-75,America/Lima
Egypt,,Cairo,30.0444,31.2358,30,Africa/Cairo
El Salvador,,San Salvador,13.6989,-89.1914,-90,America/Mexico_City
Equatorial Guinea,,Malabo,3.7456,8.7744,15,Africa/Lagos
Eritrea,,Asmara,15.3358,38.9411,45,Europe/Moscow
Estonia,,Tallinn,59.4372,24.7453,30,Europe/Athens
Ethiopia,,Addis Ababa,9.03,38.74,45,Europe/Moscow
Fiji,,Suva,-18.1333,178.4333,180,Pacific/Fiji
Finland,,Helsinki,60.1708,24.9375,30,Europe/Athens
France,,Paris,48.8567,2.3522,15,Europe/Paris
Gabon,,Libreville,0.3901,9.4544,15,Africa/Lagos
Gambia,,Banjul,13.4581,-16.5786,0,Africa/Abidjan
Gaza Strip,,Gaza,31.5069,34.456,30,Asia/Gaza
